gid,latitude,longitude,cgeoth_grad,heat_flow,cheat_flow
AK-00004,51.4821252,-180.9273011,27.7,41,41
AK-00006,70.5597641,-151.7238936,51.1,90,
AK-00006,70.5597641,-151.7238936,24.4,,
AK-00006,70.5597641,-151.7238936,39.3,64,64
AK-00008,54.9114287,-132.1350661,21.2,88,82
AK-00008,54.9114287,-132.1350661,17.8,76,69
AK-00008,54.9114287,-132.1350661,19.5,75,76
AK-00010,70.2115212,-148.4154164,15.5,51,51
AK-00014,70.2803185,-148.6670378,15.5,51,51
AK-00014,70.2803185,-148.6670378,15,48,48
AK-00014,70.2803185,-148.6670378,17.5,62,62
AK-00014,70.2803185,-148.6670378,16,54,54
AK-00020,70.5697383,-152.9439341,42.6,62,62
AK-00020,70.5697383,-152.9439341,48.3,90,90
AK-00023,58.0755403,-134.621201,13,120,65
AK-00023,58.0755403,-134.621201,11.5,60,46
AK-00023,58.0755403,-134.621201,12.3,88,55
AK-00024,70.4597043,-154.3339543,28.2,38,38
AK-00024,70.4597043,-154.3339543,33.8,,
AK-00024,70.4597043,-154.3339543,36.3,71,71
AK-00025,69.9997149,-153.1038312,33.4,56,56
AK-00027,70.5896131,-158.6640947,33,60,60
AK-00027,70.5896131,-158.6640947,41.8,,
AK-00027,70.5896131,-158.6640947,36.1,68,68
AK-00028,69.7496736,-154.6138291,30.6,57,57
AK-00028,69.7496736,-154.6138291,41.3,62,62
AK-00032,70.3115268,-148.3187311,15.5,53,53
AK-00033,66.9495387,-156.7034343,,67,67
AK-00039,71.199684,-156.4541649,,54,54
AK-00040,70.71961,-159.0041293,30.9,47,47
AK-00040,70.71961,-159.0041293,32.3,,
AK-00040,70.71961,-159.0041293,40.1,73,73
AK-00047,63.4997201,-142.9026591,,50,50
AK-00049,70.2095458,-161.0740721,37.3,34,34
AK-00051,71.0996709,-156.8841553,40,67,67
AK-UND US  29,62.0996884,-142.7025297,,99,
AK-00005,56.8389391,-133.3160936,33.8,66,66
AK-00005,56.8389391,-133.3160936,37.7,72,72
AK-00005,56.8389391,-133.3160936,35.8,69,69
AK-00007,69.1495787,-158.023809,22.6,38,38
AK-00011,70.7697556,-152.4739586,38.2,66,66
AK-00015,70.8797286,-153.9040249,39,61,61
AK-00015,70.8797286,-153.9040249,31.8,,
AK-00015,70.8797286,-153.9040249,38,64,64
AK-00018,70.9197143,-154.6240544,34.2,51,51
AK-00018,70.9197143,-154.6240544,45.3,79,79
AK-00021,64.6996958,-145.9028712,,87,87
AK-00034,55.1630371,-131.7817662,21,71,68
AK-00035,55.0664305,-132.1484733,17,99,51
AK-00036,70.2596658,-155.773956,37.7,67,67
AK-00036,70.2596658,-155.773956,45.5,77,77
AK-00037,70.5097484,-152.3739047,46.5,69,69
AK-00037,70.5097484,-152.3739047,51.2,82,82
AK-00038,63.4997458,-141.5026141,,87,87
AK-00041,55.4064591,-130.4800357,30.6,122,115
AK-00048,68.1160832,-165.2704675,20,59,59
AK-00054,70.8297614,-152.3039651,39.3,73,73
AK-00055,65.0946067,-164.9343308,,0,
AK-00055,65.0946067,-164.9343308,,221,
AK-00001,70.3353163,-148.8670549,17,57,57
AK-00001,70.3353163,-148.8670549,16.5,54,54
AK-00001,70.3353163,-148.8670549,16,54,54
AK-00001,70.3353163,-148.8670549,16.5,55,55
AK-00003,63.9496216,-148.6528723,,67,67
AK-00009,68.0829846,-151.5034658,,100,100
AK-00012,60.1661281,-154.0859549,,87,87
AK-00013,63.2995338,-152.2028964,,100,100
AK-00019,70.9797153,-154.6740682,42.2,73,73
AK-00022,70.3297487,-152.0638607,37.1,69,69
AK-00022,70.3297487,-152.0638607,43.2,,
AK-00022,70.3297487,-152.0638607,39.3,69,69
AK-00029,70.929683,-156.0640975,38.9,64,64
AK-00045,70.4197589,-151.7338672,32.5,83,83
AK-00046,55.6180315,-132.591812,15.8,40,40
AK-00050,71.1896996,-155.7341427,42,69,69
AK-00056,65.0963068,-164.931931,,881,
AK-00057,65.0953067,-164.9325308,,881,
AK-00058,65.0948067,-164.9331308,,0,
AK-00058,65.0948067,-164.9331308,,661,
AK-00059,65.0943067,-164.9325307,,0,
AK-00059,65.0943067,-164.9325307,,445,
AK-00060,65.0923066,-164.9323305,,0,
AK-00060,65.0923066,-164.9323305,,249,
AK-UND US  20,68.0993698,-165.8371057,,46,
AK-00002,70.3353163,-148.8670549,,100,100
AK-00016,70.3781248,-148.5304508,19,68,68
AK-00017,68.8396712,-153.3036358,26.3,44,44
AK-00026,70.9197465,-153.1440097,47,80,80
AK-00026,70.9197465,-153.1440097,22.3,,
AK-00026,70.9197465,-153.1440097,43.1,73,73
AK-00030,68.479608,-155.6936407,21.3,27,27
AK-00030,68.479608,-155.6936407,27.3,46,46
AK-00031,54.7830283,-132.0517579,20,46,46
AK-00042,69.3797132,-152.1836938,18.1,49,49
AK-00043,66.099427,-160.7033972,,87,87
AK-00044,70.6096533,-156.8940545,44,87,87
AK-00052,71.1597007,-155.6341335,40.7,,
AK-00052,71.1597007,-155.6341335,43.9,61,61
AK-00053,57.0914204,-134.8019533,49,171,150
,56.2000000,-161.9500000,31,,56
,59.2000000,-140.4500000,32,,54
,58.7010000,-156.1950000,49,,74
,59.4980000,-152.6740000,23,,57
,60.6790000,-151.0690000,24,,59
,62.0790000,-158.1970000,29,,106
,62.0790000,-158.1970000,25,,95
,62.0790000,-158.1970000,30,,104
,62.0790000,-158.1970000,21,,77
,68.0710000,-162.8610000,21,,49
,68.0710000,-162.8610000,17,,31
,59.9010000,-155.2790000,28,,70
,59.2360000,-135.4450000,24,,81
,61.9850000,-152.5990000,25,,71
,60.6480000,-162.9590000,31,,77
,55.7340000,-162.1220000,34,,67
,66.7400000,-162.1140000,40,,101
,55.8630000,-161.5690000,38,,76
,55.5230000,-161.2470000,41,,81
,55.8430000,-161.0220000,29,,59
,55.8090000,-160.9720000,37,,73
,56.2150000,-160.1730000,39,,79
,55.9360000,-159.7820000,64,,129
,56.9670000,-158.6850000,33,,66
,64.6330000,-158.5670000,24,,61
,57.4260000,-157.7380000,47,,93
,57.1630000,-157.4330000,43,,87
,57.7840000,-157.1100000,40,,81
,56.9160000,-157.0460000,47,,94
,57.6280000,-155.8620000,36,,71
,64.5810000,-149.6380000,39,,97
,62.1380000,-146.4930000,29,,103
,62.2820000,-146.2650000,24,,73
,59.4090000,-146.2600000,47,,60
,62.4310000,-146.2340000,30,,118
,62.5090000,-146.0710000,31,,59
,62.1060000,-145.8110000,34,,77
,62.3000000,-145.4920000,31,,69
,62.1900000,-145.4110000,32,,78
,60.2640000,-144.2100000,32,,79
,60.2100000,-144.1650000,42,,81
,60.1570000,-143.0390000,32,,105
,60.1360000,-143.0240000,29,,63
,60.1650000,-142.7780000,29,,58
,60.0800000,-142.4210000,27,,57
,60.0730000,-142.2100000,31,,53
,60.0730000,-142.147,36,,62
,65.6490000,-142.141,45,,71
,66.8050000,-141.717,39,,89
,59.8970000,-141.425,38,,77
,60.0370000,-141.152,15,,95
,59.7970000,-139.991,21,,38
,59.5260000,-139.674,30,,43
,59.5200000,-139.625,29,,60
,59.5140000,-139.587,33,,59
,59.5710000,-139.523,28,,66
,59.3710000,-139.373,28,,56
,59.4070000,-139.237,34,,56
,59.2570000,-138.939,17,,68
,60.7530000,-162.760,28,,17
,61.9520000,-147.142,32,,57
,62.1090000,-146.607,33,,63
,59.8050000,-146.105,41,,66
,,,,,